,YAD,AECI,HST,TAL,DUK,FPC,CPLE,CPLW,EEI,FPL,GRID,ISNE,JEA,LGEE,MISO,NSB,NYISO,NWMT,OVEC,PJM,AEC,PNM,SEC,SC,SEPA,SOCO,SWPP,SPA,TEC,TVA,WACM,WAUW,NB,ERCOT
7790,0.0,,,,0.0,26.0,0.0,5.0,,,,626.0,,52.0,947.0,,3231.0,408.0,0.0,658.0,0.0,11.0,,184.0,30.0,196.0,2063.0,638.0,,2006.0,698.0,59.0,0.0,0.0
7791,1.0,,,,0.0,27.0,6.0,5.0,,,,619.0,,46.0,961.0,,3189.0,409.0,0.0,817.0,0.0,18.0,,194.0,30.0,117.0,2001.0,631.0,,1932.0,691.0,58.0,0.0,0.0
7792,0.0,,,,0.0,27.0,7.0,5.0,,,,739.0,,46.0,968.0,,3360.0,405.0,0.0,1559.0,0.0,18.0,,63.0,30.0,90.0,2003.0,636.0,,1933.0,685.0,57.0,0.0,0.0
7793,2.0,,,,0.0,27.0,0.0,9.0,,,,1218.0,,45.0,973.0,,3288.0,411.0,0.0,3543.0,0.0,18.0,,1.0,65.0,195.0,2032.0,638.0,,2100.0,714.0,58.0,0.0,0.0
7794,116.0,,,,692.0,37.0,1.0,38.0,,,,1763.0,,47.0,1304.0,,3365.0,411.0,0.0,2910.0,0.0,18.0,,1.0,96.0,536.0,2195.0,638.0,,2739.0,741.0,58.0,0.0,0.0
7795,122.0,,,,937.0,25.0,19.0,38.0,,,,1573.0,,45.0,1348.0,,3437.0,409.0,0.0,1988.0,0.0,18.0,,0.0,292.0,1272.0,2367.0,684.0,,3557.0,791.0,59.0,0.0,0.0
7796,123.0,,,,702.0,28.0,20.0,38.0,,,,1362.0,,45.0,1137.0,,3412.0,410.0,0.0,1062.0,0.0,18.0,,2.0,318.0,1361.0,2369.0,687.0,,3658.0,956.0,63.0,0.0,0.0
7797,122.0,,,,390.0,27.0,6.0,38.0,,,,1089.0,,47.0,1087.0,,3177.0,411.0,0.0,748.0,0.0,18.0,,2.0,362.0,1343.0,2310.0,689.0,,3455.0,882.0,62.0,0.0,0.0
7798,123.0,,,,150.0,28.0,0.0,9.0,,,,679.0,,45.0,1046.0,,3052.0,417.0,0.0,636.0,0.0,18.0,,1.0,297.0,1153.0,2302.0,675.0,,3150.0,824.0,60.0,0.0,0.0
7799,123.0,,,,0.0,28.0,0.0,5.0,,,,597.0,,46.0,1008.0,,3023.0,408.0,0.0,486.0,0.0,18.0,,2.0,0.0,583.0,2259.0,468.0,,2424.0,900.0,62.0,0.0,0.0
7800,121.0,,,,0.0,27.0,0.0,5.0,,,,585.0,,47.0,994.0,,2624.0,412.0,0.0,518.0,0.0,18.0,,33.0,0.0,287.0,1999.0,463.0,,1338.0,797.0,59.0,0.0,0.0
7801,4.0,,,,0.0,27.0,0.0,4.0,,,,567.0,,45.0,993.0,,2133.0,412.0,0.0,465.0,0.0,18.0,,67.0,0.0,285.0,1740.0,465.0,,1066.0,673.0,49.0,0.0,0.0
7802,1.0,,,,0.0,28.0,0.0,4.0,,,,546.0,,47.0,918.0,,2182.0,403.0,0.0,406.0,0.0,18.0,,69.0,0.0,496.0,1996.0,462.0,,921.0,637.0,63.0,0.0,0.0
7803,0.0,,,,0.0,27.0,0.0,5.0,,,,519.0,,45.0,898.0,,2172.0,401.0,0.0,377.0,0.0,18.0,,29.0,0.0,525.0,1996.0,466.0,,919.0,558.0,61.0,0.0,0.0
7804,1.0,,,,0.0,28.0,0.0,5.0,,,,479.0,,46.0,898.0,,2266.0,406.0,0.0,364.0,0.0,18.0,,1.0,0.0,635.0,1996.0,464.0,,941.0,511.0,64.0,0.0,0.0
7805,3.0,,,,0.0,27.0,0.0,5.0,,,,491.0,,46.0,899.0,,2440.0,404.0,0.0,381.0,0.0,18.0,,0.0,0.0,410.0,1996.0,462.0,,989.0,527.0,60.0,0.0,0.0
7806,119.0,,,,89.0,28.0,0.0,8.0,,,,513.0,,45.0,916.0,,2914.0,402.0,0.0,1589.0,0.0,18.0,,2.0,198.0,395.0,1996.0,465.0,,1229.0,537.0,61.0,0.0,0.0
7807,122.0,,,,1660.0,27.0,23.0,72.0,,,,1050.0,,46.0,983.0,,3160.0,403.0,0.0,1752.0,0.0,18.0,,1.0,530.0,846.0,1996.0,600.0,,2330.0,564.0,60.0,0.0,0.0
7808,122.0,,,,1821.0,28.0,42.0,74.0,,,,1462.0,,46.0,1262.0,,3231.0,401.0,0.0,1476.0,0.0,18.0,,2.0,947.0,1717.0,1996.0,713.0,,2772.0,678.0,58.0,0.0,0.0
7809,124.0,,,,1255.0,28.0,42.0,74.0,,,,1422.0,,46.0,1281.0,,3163.0,406.0,0.0,1000.0,0.0,18.0,,2.0,578.0,1873.0,1996.0,813.0,,2815.0,771.0,60.0,0.0,0.0
7810,120.0,,,,798.0,27.0,42.0,62.0,,,,1199.0,,46.0,1281.0,,3314.0,406.0,0.0,850.0,0.0,18.0,,1.0,217.0,1355.0,1996.0,715.0,,2841.0,869.0,58.0,0.0,0.0
7811,4.0,,,,466.0,28.0,3.0,11.0,,,,1155.0,,46.0,1344.0,,3224.0,405.0,0.0,746.0,0.0,18.0,,41.0,45.0,924.0,1996.0,666.0,,2791.0,784.0,55.0,0.0,0.0
7812,1.0,,,,264.0,28.0,0.0,10.0,,,,1071.0,,45.0,1131.0,,3430.0,407.0,0.0,531.0,0.0,18.0,,161.0,30.0,778.0,1996.0,664.0,,2821.0,727.0,55.0,0.0,0.0
7813,0.0,,,,198.0,27.0,0.0,10.0,,,,816.0,,47.0,1030.0,,3445.0,405.0,0.0,544.0,0.0,18.0,,193.0,30.0,343.0,1996.0,659.0,,2581.0,662.0,54.0,0.0,0.0
7814,1.0,,,,207.0,28.0,0.0,10.0,,,,778.0,,45.0,1021.0,,3442.0,411.0,0.0,554.0,0.0,18.0,,193.0,30.0,282.0,1996.0,514.0,,2368.0,696.0,54.0,0.0,0.0
7815,0.0,,,,173.0,29.0,0.0,11.0,,,,630.0,,45.0,1015.0,,3452.0,408.0,0.0,555.0,0.0,18.0,,148.0,30.0,125.0,1996.0,512.0,,2265.0,668.0,57.0,0.0,0.0
7816,0.0,,,,163.0,30.0,0.0,11.0,,,,605.0,,46.0,1015.0,,3445.0,411.0,0.0,967.0,0.0,18.0,,98.0,30.0,124.0,1996.0,507.0,,2244.0,651.0,57.0,0.0,0.0
7817,0.0,,,,205.0,29.0,0.0,13.0,,,,885.0,,45.0,1013.0,,3301.0,408.0,0.0,3766.0,0.0,18.0,,16.0,45.0,307.0,1996.0,508.0,,2441.0,673.0,58.0,0.0,0.0
7818,109.0,,,,593.0,40.0,18.0,42.0,,,,1295.0,,45.0,1313.0,,3428.0,406.0,0.0,3905.0,0.0,18.0,,2.0,75.0,780.0,1996.0,669.0,,3069.0,705.0,55.0,0.0,0.0
7819,123.0,,,,564.0,21.0,39.0,43.0,,,,1238.0,,45.0,1901.0,,3612.0,410.0,0.0,2894.0,0.0,17.0,,0.0,272.0,1053.0,1996.0,1061.0,,3420.0,726.0,59.0,0.0,0.0
7820,124.0,,,,303.0,21.0,40.0,42.0,,,,780.0,,44.0,1363.0,,3716.0,412.0,0.0,1097.0,0.0,17.0,,1.0,272.0,1166.0,1996.0,1070.0,,3318.0,862.0,50.0,0.0,0.0
7821,123.0,,,,133.0,21.0,39.0,43.0,,,,671.0,,44.0,1056.0,,3733.0,407.0,0.0,780.0,0.0,17.0,,2.0,165.0,1024.0,1996.0,1062.0,,2955.0,900.0,55.0,0.0,0.0
7822,123.0,,,,51.0,21.0,3.0,15.0,,,,743.0,,45.0,1034.0,,3676.0,407.0,0.0,693.0,0.0,17.0,,1.0,119.0,749.0,1996.0,673.0,,2749.0,846.0,60.0,0.0,0.0
7823,123.0,,,,16.0,22.0,0.0,11.0,,,,655.0,,44.0,1016.0,,3620.0,410.0,0.0,606.0,0.0,17.0,,2.0,25.0,592.0,1996.0,526.0,,2355.0,832.0,62.0,0.0,0.0
7824,122.0,,,,0.0,23.0,0.0,10.0,,,,572.0,,45.0,993.0,,3359.0,407.0,0.0,466.0,0.0,17.0,,32.0,0.0,530.0,1996.0,465.0,,1795.0,736.0,60.0,0.0,0.0
7825,5.0,,,,0.0,27.0,0.0,10.0,,,,553.0,,44.0,926.0,,3161.0,406.0,0.0,440.0,0.0,17.0,,71.0,0.0,457.0,1996.0,415.0,,1296.0,651.0,59.0,0.0,0.0
7826,0.0,,,,0.0,27.0,0.0,10.0,,,,603.0,,45.0,932.0,,3175.0,402.0,0.0,437.0,0.0,17.0,,47.0,0.0,484.0,1996.0,437.0,,936.0,592.0,60.0,0.0,0.0
7827,1.0,,,,0.0,26.0,0.0,10.0,,,,563.0,,44.0,914.0,,3066.0,402.0,0.0,439.0,0.0,17.0,,3.0,0.0,496.0,1996.0,442.0,,802.0,555.0,58.0,0.0,0.0
7828,0.0,,,,0.0,27.0,0.0,10.0,,,,507.0,,44.0,912.0,,3021.0,402.0,0.0,442.0,0.0,17.0,,3.0,0.0,559.0,1996.0,436.0,,813.0,535.0,52.0,0.0,0.0
7829,1.0,,,,0.0,27.0,0.0,11.0,,,,539.0,,44.0,917.0,,3013.0,402.0,0.0,449.0,0.0,17.0,,4.0,0.0,389.0,1996.0,432.0,,546.0,533.0,51.0,0.0,0.0
7830,3.0,,,,0.0,25.0,0.0,15.0,,,,673.0,,44.0,928.0,,3057.0,405.0,0.0,1496.0,0.0,17.0,,3.0,0.0,365.0,1996.0,433.0,,503.0,543.0,60.0,0.0,0.0
7831,120.0,,,,0.0,26.0,22.0,42.0,,,,853.0,,43.0,946.0,,3238.0,400.0,0.0,2106.0,0.0,17.0,,4.0,0.0,653.0,1996.0,434.0,,700.0,588.0,61.0,0.0,0.0
7832,124.0,,,,0.0,25.0,39.0,42.0,,,,1075.0,,42.0,1043.0,,3168.0,404.0,0.0,1725.0,0.0,17.0,,3.0,26.0,1019.0,1996.0,522.0,,1184.0,667.0,59.0,0.0,0.0
7833,123.0,,,,0.0,29.0,18.0,42.0,,,,1122.0,,43.0,1078.0,,3248.0,403.0,0.0,877.0,0.0,17.0,,4.0,29.0,1042.0,1996.0,615.0,,1812.0,768.0,57.0,0.0,0.0
7834,123.0,,,,218.0,31.0,0.0,42.0,,,,891.0,,43.0,1089.0,,3332.0,410.0,0.0,747.0,0.0,17.0,,3.0,25.0,954.0,1996.0,614.0,,2030.0,712.0,54.0,0.0,0.0
7835,123.0,,,,229.0,33.0,0.0,42.0,,,,670.0,,52.0,1025.0,,3378.0,411.0,0.0,719.0,0.0,17.0,,2.0,25.0,844.0,1996.0,612.0,,2242.0,613.0,53.0,0.0,0.0
7836,5.0,,,,219.0,32.0,0.0,52.0,,,,576.0,,91.0,1021.0,,3193.0,407.0,0.0,639.0,0.0,17.0,,3.0,25.0,937.0,1996.0,619.0,,2198.0,563.0,58.0,0.0,0.0
7837,3.0,,,,323.0,32.0,0.0,74.0,,,,561.0,,93.0,1023.0,,3084.0,410.0,0.0,606.0,0.0,17.0,,56.0,0.0,776.0,1996.0,615.0,,2151.0,528.0,55.0,0.0,0.0
7838,0.0,,,,409.0,30.0,0.0,74.0,,,,527.0,,92.0,1020.0,,3139.0,412.0,0.0,599.0,0.0,17.0,,71.0,0.0,323.0,1996.0,608.0,,2068.0,530.0,52.0,0.0,0.0
7839,2.0,,,,397.0,27.0,0.0,74.0,,,,571.0,,94.0,1016.0,,3136.0,408.0,0.0,870.0,0.0,17.0,,71.0,0.0,362.0,1996.0,605.0,,2149.0,523.0,50.0,0.0,0.0
