Name,Bus,Fuel,Max_Cap,Min_Cap,Heat_Rate
BUCKSPORT,188,NG (Natural Gas),298.4,56.379999999999995,5.21705561775
YARMOUTH,188,DFO (Distillate Fuel Oil),846.0,309.3,6.549625
MADISON,188,NG (Natural Gas),31.979999999999997,8.75,0.0
RUMFORD,188,NG (Natural Gas),434.1200000000001,148.42,3.048483422
SOUTHPORTLAND,188,DFO (Distillate Fuel Oil),35.0,11.66,0.525
BANGOR,188,NG (Natural Gas),550.2,197.92000000000002,4.174419040666667
SEARSMONT,188,DFO (Distillate Fuel Oil),2.0,0.84,0.0655
WESTBROOK,188,NG (Natural Gas),563.91,168.11,6.529590712666667
PORTSMOUTH,188,DFO (Distillate Fuel Oil),21.2,8.54,0.68
PRESQUEISLE,56,DFO (Distillate Fuel Oil),6.0,1.4100000000000001,0.054
EASTPORT,56,DFO (Distillate Fuel Oil),2.0,0.92,0.0675
MEDWAY,56,DFO (Distillate Fuel Oil),11.200000000000003,3.1100000000000003,0.0
CARIBOU,56,DFO (Distillate Fuel Oil),26.58,8.85,0.133
MIRRORLAKE,479,DFO (Distillate Fuel Oil),18.0,4.11,0.4835
TAMWORTH,479,DFO (Distillate Fuel Oil),18.6,4.58,0.5095
PLYMOUTH,479,DFO (Distillate Fuel Oil),2.8,1.21,0.04625
PORTSMOUTH_2,4238,DFO (Distillate Fuel Oil),1119.49,260.39,5.1520396195
CONCORD,4238,BIT (Bituminous Coal),479.9,195.71,2.2040436416666664
HAMPTON,4238,DFO (Distillate Fuel Oil),8.78,2.62,0.010642857142857145
LONDONDERRY,4238,NG (Natural Gas),789.99,328.84000000000003,7.463930807666667
SEABROOK,4238,NUC (Nuclear),1242.0,462.96,11.24
PEABODY,4238,NG (Natural Gas),71.59,22.5,4.651755984599999
MARBLEHEAD,4238,DFO (Distillate Fuel Oil),7.800000000000001,1.63,0.036250000000000004
BOSTON,4238,NG (Natural Gas),192.30999999999995,56.45000000000001,1.494822588111111
SHREWSBURY,4238,DFO (Distillate Fuel Oil),14.0,4.23,0.08130000000000001
BELLINGHAM,4238,NG (Natural Gas),964.1000000000001,341.46999999999997,6.528537085399999
HUDSON,4238,DFO (Distillate Fuel Oil),18.3,4.8100000000000005,0.056722222222222216
CAMBRIDGE,4238,NG (Natural Gas),294.8,56.68,4.1997059383333335
WELLESLEYHILLS,4238,NG (Natural Gas),7.199999999999999,2.14,0.0
CHARLESTOWN,4238,DFO (Distillate Fuel Oil),2375.58,843.03,5.8294641848749995
NORTHWEYMOUTH,4238,NG (Natural Gas),872.19,239.92000000000002,7.645708819333334
BRAINTREE,4238,NG (Natural Gas),217.0,69.36,4.93483324425
BLACKSTONE,4238,NG (Natural Gas),578.0,128.74,7.5765749504999995
FRAMINGHAM,4238,DFO (Distillate Fuel Oil),44.39999999999998,11.56,0.13722222222222225
REVERE,4238,NG (Natural Gas),5.8,1.46,4.583556069
WINTHROP,4238,DFO (Distillate Fuel Oil),52.0,9.67,0.665
MEDWAY_3,4238,DFO (Distillate Fuel Oil),135.0,41.739999999999995,1.3173333333333335
MILFORD,4238,NG (Natural Gas),178.0,44.86,5.254540441
HARRISVILLE,4238,NG (Natural Gas),508.38000000000005,168.78,5.215832458
DAYVILLE,4238,NG (Natural Gas),840.0,216.72000000000003,4.914547191333334
HANOVER,2289,DFO (Distillate Fuel Oil),6.99,2.66,0.07316666666666667
FLORENCE,2289,DFO (Distillate Fuel Oil),9.2,2.62,0.13125
WESTCHARLESTON,2289,DFO (Distillate Fuel Oil),2.8,0.39,0.0
BARNARD,2289,DFO (Distillate Fuel Oil),13.2,2.6,0.342
RUTLAND,2289,DFO (Distillate Fuel Oil),13.2,3.78,0.3775
MIDDLETOWN,2289,NG (Natural Gas),41.9,18.38,4.826207321
CORINTH,2289,NG (Natural Gas),205.98000000000008,49.160000000000004,5.045007374
SHERRILL,2289,NG (Natural Gas),64.2,28.53,4.7738511435
COOPERSTOWN,2289,DFO (Distillate Fuel Oil),6.700000000000001,1.7600000000000002,0.031083333333333334
COLCHESTER,2049,DFO (Distillate Fuel Oil),18.0,5.15,0.5145
BURLINGTON,2049,DFO (Distillate Fuel Oil),25.5,6.24,0.6970000000000001
BARRE,2049,DFO (Distillate Fuel Oil),41.8,18.98,1.4055
VERGENNES,2049,DFO (Distillate Fuel Oil),4.0,0.6799999999999999,0.05
INDIANORCHARD,1317,BIT (Bituminous Coal),5.7,1.1,0.0
NORTHAMPTON,1317,NG (Natural Gas),7.0,3.27,1.5339526653333335
LUDLOW,1317,DFO (Distillate Fuel Oil),534.6,158.91000000000003,2.5765000000000002
CHICOPEE,1317,DFO (Distillate Fuel Oil),8.100000000000001,2.25,0.07633333333333335
FITCHBURG,1317,NG (Natural Gas),8.1,3.27,1.1527335840000001
WORCESTER,1317,NG (Natural Gas),7.6,2.24,1.5284733816666665
INDIANORCHARD_4,5547,NG (Natural Gas),269.0100000000001,45.19,5.208426089333334
WESTSPRINGFIELD,5547,NG (Natural Gas),250.6,76.71,2.7545234765
AGAWAM,5547,NG (Natural Gas),289.0,37.86,6.938421508999999
WINDSORLOCKS,5547,NG (Natural Gas),78.01,18.68,1.7616058427499999
GROTON,5547,DFO (Distillate Fuel Oil),55.0,16.060000000000002,2.1240967706363634
EASTHARTFORD,5547,NG (Natural Gas),25.8,9.13,4.713783179
HARTFORD,5547,NG (Natural Gas),94.0,35.84,1.1849817324999998
UNCASVILLE,5547,DFO (Distillate Fuel Oil),505.32,152.89,1.836625
LEBANON,5547,DFO (Distillate Fuel Oil),5.0,1.94,0.07925
WALLINGFORD,5547,NG (Natural Gas),347.1,97.48000000000002,2.4722771991666668
LEDYARD,5547,NG (Natural Gas),13.2,4.94,2.303829253
MONTVILLE,5547,NG (Natural Gas),17.4,5.13,2.32546706
MIDDLETOWN_5,5547,DFO (Distillate Fuel Oil),1725.1999999999996,584.9,2.8326597649333336
BRISTOL,5547,NG (Natural Gas),7.0,2.94,2.2949447605
WATERBURY,5547,NG (Natural Gas),97.1,25.75,0.0
STORRSMANSFIELD,5547,NG (Natural Gas),20.700000000000003,7.74,3.0698873583333337
NORWICH,5547,DFO (Distillate Fuel Oil),12.0,2.62,0.0638
WATERFORD,5547,NUC (Nuclear),2162.9,940.79,10.95
SOMERSET,2818,BIT (Bituminous Coal),1600.1100000000001,275.12,7.4118030175000005
TAUNTON,2818,DFO (Distillate Fuel Oil),146.31,51.92,1.4945000000000002
DIGHTON,2818,NG (Natural Gas),200.0,43.32,6.587615283
PLYMOUTH_6,2818,NUC (Nuclear),674.5,326.18,9.89
PROVIDENCE,2818,NG (Natural Gas),529.88,189.69,3.1445361764
PAWTUCKET,2818,NG (Natural Gas),68.8,31.67,4.8266080165
TIVERTON,2818,NG (Natural Gas),272.5,84.83,5.7517055465
CRANSTON,2818,DFO (Distillate Fuel Oil),10.0,3.25,0.057374999999999995
JOHNSTON,2818,NG (Natural Gas),596.01,160.74,4.401486655666667
NORWICH_7,2818,DFO (Distillate Fuel Oil),26.5,6.930000000000001,0.165125
DAYVILLE_8,2818,NG (Natural Gas),4.6,2.04,4.594358825
PRESTON,2818,DFO (Distillate Fuel Oil),28.019999999999996,9.979999999999999,0.585
PITTSFIELD,2744,DFO (Distillate Fuel Oil),204.68,81.59,3.356286556
LEE,2744,DFO (Distillate Fuel Oil),20.4,6.05,0.5895
MERIDEN,6353,DFO (Distillate Fuel Oil),21.8,9.58,0.7235
BRIDGEPORT,6353,DFO (Distillate Fuel Oil),953.4900000000001,216.63,3.9768729843333332
MILFORD_9,6353,DFO (Distillate Fuel Oil),1042.6,316.24,2.5474808156363635
FAIRFIELD,6353,NG (Natural Gas),4.5,1.03,4.595441595
EASTHAVEN,6353,DFO (Distillate Fuel Oil),641.48,233.42,4.9582500000000005
STAMFORD,6353,DFO (Distillate Fuel Oil),116.0,41.15,0.711
NORWALK,6353,DFO (Distillate Fuel Oil),6.0,2.5,0.065
STONYBROOK,6353,NG (Natural Gas),47.0,6.08,4.892217757
HOLTSVILLE,6353,DFO (Distillate Fuel Oil),731.0,193.49999999999997,3.2128318088750003
BRONX,6353,NG (Natural Gas),50.1,16.79,2.6508068314285715
SPEONK,6353,DFO (Distillate Fuel Oil),311.3,61.24,1.3365
BRENTWOOD,6353,NG (Natural Gas),147.0,65.5,4.9068319339999995
GREENPORT,6353,DFO (Distillate Fuel Oil),80.6,32.559999999999995,0.31
ISLANDPARK,6353,NG (Natural Gas),669.22,185.49999999999994,5.22822290375
GLENWOODLANDING,6353,NG (Natural Gas),232.0,66.9,2.6926238838000005
FREEPORT,6353,DFO (Distillate Fuel Oil),212.7,59.25,1.2164939467692306
NORTHPORT,6353,DFO (Distillate Fuel Oil),1564.0,347.90999999999997,6.8497005254
PORTJEFFERSONSTATION,6353,NG (Natural Gas),498.0,175.34,4.7108910756
HICKSVILLE,6353,NG (Natural Gas),240.59999999999997,92.53999999999999,2.6422613522727274
ASTORIA,6353,NG (Natural Gas),650.01,194.07,6.762159690333333
EASTHAMPTON,6353,DFO (Distillate Fuel Oil),27.32,10.14,0.2125
FARROCKAWAY,6353,DFO (Distillate Fuel Oil),121.0,36.76,3.3281012065
BROOKHAVEN,6353,DFO (Distillate Fuel Oil),100.0,17.5,1.26275
YAPHANK,6353,NG (Natural Gas),351.5,110.41,3.1389519355
JAMAICA,6353,NG (Natural Gas),124.0,45.14999999999999,2.082995694142857
WESTBABYLON,6353,DFO (Distillate Fuel Oil),134.8,37.24999999999999,2.8392959522499996
HEMPSTEAD,6353,NG (Natural Gas),4.0,1.4000000000000001,0.0
OCEANSIDE,6353,DFO (Distillate Fuel Oil),33.8,11.21,2.3150305212499998
GARDENCITY,6353,NG (Natural Gas),55.0,15.81,4.7458724505
SOUTHAMPTON,6353,DFO (Distillate Fuel Oil),11.5,4.45,0.3635
