bus_i,link,lon,lat,typ,State,BA_Assumption
23846,source,-79.22961,35.464807,joint,NC,CPLE
23847,source,-79.151487,35.698655,joint,NC,DUK
23848,source,-79.440949,35.743204,joint,NC,DUK
23849,source,-79.731451,35.777574,joint,NC,DUK
23850,source,-79.725691,34.960807,joint,NC,CPLE
23854,source,-79.857371,34.646058,joint,Outside of NC,CPLE
23857,source,-79.019226,35.414731,joint,NC,CPLE
23858,sink,-80.054736,35.03165,joint,NC,DUK
23859,sink,-77.639056,36.457822,joint,NC,CPLE
23861,sink,-79.08414,36.47719,joint,NC,DUK
23900,source,-75.93825,36.323806,joint,NC,PJM
23901,source,-75.938489,36.324404,joint,NC,PJM
23902,sink,-75.939433,36.325694,joint,NC,PJM
24341,source,-81.120386,36.168544,joint,Outside of NC,DUK
25047,sink,-78.598974,35.7627,joint,NC,DUK
25052,sink,-78.686946,35.785545,joint,NC,DUK
25970,source,-81.727466,35.7223,joint,Outside of NC,DUK
26292,source,-78.850581,35.872631,joint,NC,DUK
26569,source,-81.662795,35.721039,joint,Outside of NC,DUK
26570,source,-81.662814,35.720998,joint,Outside of NC,DUK
26833,source,-80.790614,36.270348,joint,NC,DUK
26871,sink,-80.434383,35.224554,joint,NC,DUK
27690,sink,-81.644792,35.721466,joint,Outside of NC,DUK
27913,source,-80.902183,35.568563,joint,NC,DUK
27914,source,-80.902659,35.568695,joint,NC,DUK
27915,sink,-80.910356,35.580152,joint,NC,DUK
27917,source,-80.897067,35.550062,joint,NC,DUK
27918,source,-80.895686,35.545265,joint,NC,DUK
27919,source,-80.895191,35.548199,joint,NC,DUK
27920,source,-80.897123,35.548469,joint,NC,DUK
27921,sink,-80.897092,35.549307,joint,NC,DUK
27922,source,-80.892542,35.549762,joint,NC,DUK
27939,sink,-75.640219,35.976701,joint,NC,PJM
28211,sink,-79.596565,35.790675,merge,NC,DUK
28470,source,-80.946,35.421978,merge,NC,DUK
28471,source,-80.831778,35.383786,merge,NC,DUK
28501,source,-80.877615,35.249866,merge,NC,DUK
28502,source,-81.011149,35.190287,merge,NC,DUK
28505,sink,-81.07501,35.051528,joint,Outside of NC,DUK
28506,sink,-81.01126,35.052481,joint,Outside of NC,DUK
28509,sink,-79.016554,36.044858,merge,NC,DUK
28617,sink,-80.823707,36.878622,joint,Outside of NC,PJM
28635,sink,-79.348181,36.603504,joint,Outside of NC,PJM
28636,sink,-77.981491,36.49246,merge,NC,CPLE
28652,sink,-76.851827,35.297428,merge,NC,CPLE
28662,source,-78.974933,34.588796,merge,NC,CPLE
28663,source,-79.747284,34.842977,merge,NC,CPLE
28664,source,-80.97557,35.358434,merge,NC,DUK
28666,source,-77.984222,34.282587,merge,NC,CPLE
28667,source,-80.163644,36.171657,merge,NC,DUK
28668,sink,-77.93747,34.154022,merge,NC,CPLE
28669,source,-78.009985,33.958424,merge,NC,CPLE
28670,source,-79.165725,35.69952,merge,NC,DUK
28671,sink,-79.404688,35.70202,merge,NC,DUK
28673,source,-79.757935,34.904123,merge,NC,CPLE
28697,source,-80.992497,35.522249,merge,NC,DUK
28698,source,-80.61866,35.450776,merge,NC,DUK
28699,source,-80.739218,35.513952,merge,NC,DUK
28700,sink,-80.468958,35.549381,merge,NC,DUK
28702,sink,-80.356839,35.814984,merge,NC,DUK
28703,source,-80.303073,35.936313,merge,NC,DUK
28704,source,-80.221425,36.011572,merge,NC,DUK
28706,sink,-80.24435145,36.0783767,merge,NC,DUK
28707,source,-80.782979,36.261513,merge,NC,DUK
28710,sink,-79.635155,36.390208,merge,NC,DUK
28711,source,-78.930644,35.87165,merge,NC,DUK
28714,source,-81.367603,36.308564,merge,Outside of NC,DUK
28718,sink,-78.9826,35.156968,merge,NC,CPLE
28719,source,-78.431965,34.738031,merge,NC,CPLE
28766,source,-78.424042,36.309005,merge,NC,CPLE
28767,sink,-78.847439,35.847234,merge,NC,DUK
28770,source,-78.812093,35.725029,merge,NC,DUK
28771,sink,-78.840305,35.711556,merge,NC,DUK
28945,source,-76.944135,34.913603,merge,NC,CPLE
28946,sink,-77.352554,34.730747,merge,NC,CPLE
28947,sink,-77.252264,34.784592,merge,NC,CPLE
28951,sink,-76.80331517,34.74854124,merge,NC,CPLE
28953,source,-77.594485,35.608005,merge,NC,CPLE
28954,source,-77.862123,35.780815,merge,NC,CPLE
28955,sink,-77.432319,35.613652,merge,NC,CPLE
28990,sink,-78.699764,34.318754,merge,NC,CPLE
28991,sink,-78.971249,35.126668,merge,NC,CPLE
28993,sink,-77.87737,34.328786,merge,NC,CPLE
28994,sink,-77.45748461,34.72472525,merge,NC,CPLE
28995,sink,-79.406327,34.74806,merge,NC,CPLE
28998,sink,-77.833363,35.951523,merge,NC,CPLE
28999,sink,-78.3684893,35.25136911,merge,NC,CPLE
29001,source,-79.474431,34.765792,merge,NC,CPLE
29002,sink,-79.038241,35.141831,merge,NC,CPLE
29015,source,-79.049077,35.591857,merge,NC,DUK
29016,source,-79.530389,35.219815,merge,NC,CPLE
29017,source,-79.194332,35.492998,merge,NC,CPLE
29018,source,-79.796969,34.930796,merge,NC,CPLE
29019,sink,-79.76163,35.063089,merge,NC,CPLE
29020,sink,-79.734266,34.955779,merge,NC,CPLE
29021,source,-80.99242,35.771843,merge,NC,DUK
29023,sink,-76.908855,35.994013,merge,NC,PJM
29024,source,-79.919791,34.968566,merge,NC,DUK
29226,sink,-78.903217,36.00825,merge,NC,DUK
29239,source,-81.684471,35.737702,merge,Outside of NC,DUK
29240,source,-81.750585,35.732819,merge,Outside of NC,DUK
29255,sink,-81.55159,35.890371,merge,Outside of NC,DUK
29262,source,-78.589013,36.351946,merge,NC,DUK
29275,sink,-81.70323071,35.75353805,merge,NC,DUK
29284,sink,-81.661663,35.721383,merge,Outside of NC,DUK
29477,sink,-80.58292347,35.55949599,merge,NC,DUK
29630,source,-77.822513,35.867305,joint,NC,CPLE
29661,sink,-80.632286,36.43018,joint,NC,DUK
29803,source,-81.41589796,35.16651223,joint,NC,DUK
29872,source,-78.852994,36.175809,joint,NC,DUK
29873,source,-78.832841,36.134611,joint,NC,DUK
29874,sink,-78.853298,36.175718,joint,NC,DUK
29924,source,-77.404365,37.083702,joint,Outside of NC,PJM
29962,source,-80.902949,35.366484,joint,NC,DUK
29970,source,-76.971063,36.077755,joint,NC,PJM
29973,source,-79.047364,35.594228,joint,NC,DUK
29979,source,-79.034671,35.513581,joint,NC,CPLE
29980,sink,-77.10151,36.275535,joint,NC,PJM
29983,sink,-79.894704,35.347101,joint,NC,CPLE
30068,sink,-79.213879,35.477584,joint,NC,CPLE
30069,sink,-79.058179,35.587212,joint,NC,CPLE
30086,sink,-81.172237,36.205854,joint,Outside of NC,DUK
30087,sink,-81.132585,36.163322,joint,Outside of NC,DUK
30212,source,-81.637021,35.726668,joint,Outside of NC,DUK
30301,source,-79.042056,35.997614,joint,NC,DUK
30304,sink,-78.849097,36.11625,joint,NC,DUK
30401,source,-79.761867,34.903469,joint,NC,CPLE
30412,source,-81.322583,35.63173,joint,Outside of NC,DUK
30413,sink,-78.225078,34.32365,joint,NC,CPLE
30415,source,-80.994088,35.33102,joint,NC,DUK
30416,sink,-80.994871,35.343907,joint,NC,DUK
30421,source,-78.637123,36.356431,joint,NC,DUK
30518,sink,-78.978106,34.589671,joint,NC,CPLE
30522,source,-77.840008,35.821454,joint,NC,CPLE
30523,source,-77.814859,35.893808,joint,NC,CPLE
30524,sink,-79.745672,35.762569,joint,NC,DUK
30525,sink,-79.920579,34.971913,joint,NC,DUK
30630,source,-81.717119,35.72066,joint,Outside of NC,DUK
30640,source,-81.687859,35.73704,joint,Outside of NC,DUK
30852,sink,-81.43461659,35.16177969,joint,NC,DUK
30882,sink,-80.978529,35.356944,joint,NC,DUK
30890,sink,-81.015328,35.151471,joint,NC,DUK
30898,sink,-81.758272,35.225419,joint,Outside of NC,CPLW
30940,sink,-80.324575,35.738098,joint,NC,DUK
30941,sink,-80.101501,35.782896,joint,NC,DUK
30942,source,-78.843961,35.872833,joint,NC,DUK
30943,sink,-78.854493,35.873139,joint,NC,DUK
30944,source,-78.835938,35.882365,joint,NC,DUK
30949,sink,-76.998199,36.048057,joint,NC,PJM
30950,source,-80.832178,35.565908,joint,NC,DUK
31010,sink,-78.060499,35.305242,joint,NC,CPLE
31027,source,-80.614444,34.906952,joint,NC,DUK
31089,source,-81.682393,35.73536,joint,Outside of NC,DUK
31224,sink,-81.662689,35.720955,joint,Outside of NC,DUK
31267,sink,-80.374022,35.713715,joint,NC,DUK
