bus_i,link,lon,lat,typ,State,BA_Assumption
6423,source,-76.893427,36.370949,substation,NC,PJM
6586,sink,-76.769009,35.862341,substation,NC,PJM
6641,source,-80.701756,35.097594,substation,NC,DUK
6646,source,-80.952106,35.429413,sub_station,NC,DUK
6647,source,-80.98646,35.357167,substation,NC,DUK
6650,source,-79.038462,35.591882,sub_station,NC,DUK
6651,source,-77.724613,36.015601,substation,NC,CPLE
6652,source,-80.948688,35.432831,plant,NC,DUK
6654,sink,-79.055977,36.453365,substation,NC,DUK
6655,source,-77.762697,36.052165,substation,NC,CPLE
6656,source,-77.752176,36.036928,substation,NC,CPLE
6657,source,-78.007962,33.944561,substation,NC,CPLE
6658,source,-78.043738,34.32254,substation,NC,CPLE
6659,source,-81.016223,35.216694,sub_station,NC,DUK
6660,source,-79.782449,36.176882,substation,NC,DUK
6661,source,-78.094907,35.377066,sub_station,NC,CPLE
6662,source,-80.168992,36.113465,substation,NC,DUK
6663,source,-77.574199,35.897451,substation,NC,CPLE
6664,source,-78.012118,34.332014,sub_station,NC,CPLE
6665,source,-77.759107,36.031752,substation,NC,CPLE
6666,source,-79.780001,36.124876,substation,NC,DUK
6667,source,-80.944419,35.237277,sub_station,NC,DUK
6668,source,-78.996927,34.590271,sub_station,NC,CPLE
6669,source,-80.967276,35.596567,station,NC,DUK
6670,source,-78.960662,36.433982,substation,NC,DUK
6671,source,-78.010633,33.944329,substation,NC,CPLE
6673,source,-80.791984,35.489173,sub_station,NC,DUK
6674,sink,-78.039427,34.324036,substation,NC,CPLE
6675,source,-79.013295,34.617445,sub_station,NC,CPLE
6676,source,-78.001486,33.942696,sub_station,NC,CPLE
6677,source,-77.538913,35.891111,substation,NC,CPLE
6678,source,-79.780789,36.122491,substation,NC,DUK
6679,source,-77.44184641,35.36253502,substation,NC,CPLE
6680,source,-80.985851,35.23511,sub_station,NC,DUK
6681,source,-77.619184,36.437013,substation,NC,CPLE
6682,source,-80.062538,36.279382,substation,NC,DUK
6683,sink,-79.78644,36.179856,substation,NC,DUK
6684,source,-81.747072,35.227079,substation,Outside of NC,DUK
6685,source,-80.375549,35.709697,sub_station,NC,DUK
6687,source,-78.227603,34.325777,substation,NC,CPLE
6688,source,-78.043489,33.973733,sub_station,NC,CPLE
6689,source,-78.328818,34.038946,substation,NC,CPLE
6690,sink,-78.047669,33.953315,sub_station,NC,CPLE
6691,source,-78.554434,35.780585,substation,NC,DUK
6692,source,-79.755162,35.723858,substation,NC,DUK
6695,source,-78.94706,35.657359,sub_station,NC,DUK
6696,source,-79.43962099,35.73681754,sub_station,NC,DUK
6697,source,-78.705782,35.645676,substation,NC,DUK
6698,source,-78.742364,35.651922,substation,NC,DUK
6699,source,-78.447986,35.863571,sub_station,NC,DUK
6700,source,-78.569641,35.730063,substation,NC,DUK
6701,source,-78.917557,35.672927,substation,NC,DUK
6703,source,-78.577777,35.669026,sub_station,NC,DUK
6888,source,-77.948413,35.811892,substation,NC,CPLE
6889,source,-78.377048,35.771622,substation,NC,DUK
6890,source,-77.994197,35.773667,substation,NC,CPLE
6891,source,-78.894153,36.4842,substation,NC,DUK
6892,source,-77.997477,35.746671,substation,NC,CPLE
6893,source,-78.366065,35.692938,substation,NC,CPLE
6894,source,-78.837791,35.576327,substation,NC,DUK
6895,source,-78.747164,35.50718,sub_station,NC,CPLE
6897,source,-78.658393,35.337004,station,NC,CPLE
6900,source,-78.711517,35.411509,substation,NC,CPLE
6901,source,-78.545895,35.395819,substation,NC,CPLE
6902,source,-78.656236,35.33473,sub_station,NC,CPLE
6903,sink,-78.304206,35.539259,substation,NC,CPLE
6904,source,-78.343712,35.567205,sub_station,NC,CPLE
6905,source,-78.772797,35.570625,substation,NC,DUK
6906,sink,-78.339039,35.477287,substation,NC,CPLE
6907,sink,-78.109658,35.436189,sub_station,NC,CPLE
6912,source,-80.381057,35.219386,sub_station,NC,DUK
6913,source,-80.950908,34.979879,joint,Outside of NC,DUK
