,YAD,AECI,HST,TAL,DUK,FPC,CPLE,CPLW,EEI,FPL,GRID,ISNE,JEA,LGEE,MISO,NSB,NYISO,NWMT,OVEC,PJM,AEC,PNM,SEC,SC,SEPA,SOCO,SWPP,SPA,TEC,TVA,WACM,WAUW,NB,ERCOT
2019-01-01 00:00:00,0,3075,81,296,11267,6716,6493,595,0,15856,0,15595,1648,4024,74304,54,19586,1613,0,94016,462,1822,59,2287,0,24248,32031,64,2651,16402,3554,117,0,0
2019-01-01 01:00:00,0,3075,76,287,10811,6317,6236,575,0,14553,0,14829,1648,3971,73391,52,18891,1613,0,90385,462,1822,150,2276,0,24248,32031,64,2482,16402,3554,117,0,0
2019-01-01 02:00:00,0,3113,68,276,10287,5838,5941,531,0,13322,0,14119,1606,3900,71531,47,18198,1613,0,86724,463,1822,168,2239,0,23673,32422,67,2292,16079,3554,117,0,0
2019-01-01 03:00:00,0,3033,62,261,9796,5409,5673,507,0,12400,0,13481,1505,3745,69562,44,17423,1700,0,82978,460,1971,151,2163,0,22860,32066,66,2097,15438,3710,123,0,0
2019-01-01 04:00:00,0,2948,56,246,9294,4996,5357,479,0,11456,0,12795,1407,3542,67744,39,16613,1689,0,79536,438,1998,185,2056,0,21851,31716,63,1932,14967,3659,120,0,0
2019-01-01 05:00:00,0,2935,59,232,8804,4637,5051,448,0,10309,0,12132,1301,3332,65652,34,15774,1664,0,76608,415,1950,230,1944,0,20930,31283,66,1812,14381,3579,117,0,0
2019-01-01 06:00:00,0,2852,50,220,8376,4314,4779,430,0,10799,0,11614,1016,2886,64400,36,15053,1642,0,73926,383,1917,250,1782,0,19980,30820,68,1717,13865,3485,113,0,0
2019-01-01 07:00:00,0,2804,49,212,8040,4072,4583,414,0,10279,0,11497,970,2816,63181,34,14481,1614,0,72062,353,1862,239,1738,0,19395,30320,58,1636,13399,3375,118,0,0
2019-01-01 08:00:00,0,2779,47,204,7750,3770,4407,398,0,9678,0,11369,917,2760,62090,31,13927,1581,0,70756,361,1779,201,1688,0,18688,29962,65,1546,12930,3285,109,0,0
2019-01-01 09:00:00,0,2789,43,198,7591,3571,4263,389,0,9240,0,11270,881,2756,61266,29,13566,1545,0,69515,344,1713,187,1689,0,18388,29881,53,1464,12578,3183,107,0,0
2019-01-01 10:00:00,0,2772,42,196,7554,3474,4263,398,0,8981,0,11310,873,2805,61045,28,13353,1353,0,68853,326,1648,172,1733,0,17904,29797,68,1435,12415,3105,103,0,0
2019-01-01 11:00:00,0,2787,41,199,7689,3484,4317,408,0,8958,0,11516,891,2863,61307,28,13475,1320,0,68963,318,1608,176,1761,0,17721,29845,58,1445,12374,3037,103,0,0
2019-01-01 12:00:00,0,2849,40,205,7971,3617,4440,430,0,9114,0,11849,920,2960,62048,30,13846,1323,0,69854,324,1594,172,1828,0,17737,30109,61,1477,12562,3007,104,0,0
2019-01-01 13:00:00,0,2953,39,207,8210,3715,4511,457,0,9427,0,11539,942,3037,63538,30,14199,1304,0,70903,320,1590,168,1944,0,17833,30626,61,1494,12874,3014,102,0,0
2019-01-01 14:00:00,0,3043,44,216,8512,4123,4672,486,0,10552,0,11729,1000,3146,64632,37,14570,1339,0,72179,334,1594,185,1975,0,17781,31254,64,1628,13373,3036,103,0,0
2019-01-01 15:00:00,0,3138,52,234,8989,4723,5053,526,0,12388,0,12187,1095,3235,65834,44,15172,1383,0,74696,345,1618,119,2067,0,18167,31756,65,1843,13672,3076,104,0,0
2019-01-01 16:00:00,0,3241,59,258,9425,5312,5302,549,0,13863,0,12331,1194,3351,67618,47,15796,1498,0,77250,375,1651,121,2088,0,19276,31980,61,2064,14219,3120,106,0,0
2019-01-01 17:00:00,0,3371,63,279,9673,5797,5441,553,0,14951,0,12149,1279,3416,68974,53,16202,1573,0,78965,413,1682,147,2096,0,20392,32502,71,2255,14801,3178,109,0,0
2019-01-01 18:00:00,0,3445,66,294,9701,6166,5531,556,0,15738,0,12082,1356,3443,69474,53,16281,1584,0,79373,440,1705,174,2080,0,21266,32940,63,2388,15135,3228,111,0,0
2019-01-01 19:00:00,0,3478,69,303,9612,6409,5572,543,0,16167,0,12154,1409,3444,69372,55,16245,1575,0,79311,455,1742,181,2041,0,21717,33046,77,2489,15435,3301,108,0,0
2019-01-01 20:00:00,0,3454,69,309,9520,6545,5501,533,0,16353,0,12349,1447,3457,68904,54,16420,1553,0,79817,462,1762,196,2065,0,21800,32933,73,2546,15184,3372,112,0,0
2019-01-01 21:00:00,0,3411,68,307,9516,6576,5508,528,0,16295,0,13037,1464,3464,68906,57,16772,1541,0,80800,453,1781,205,2055,0,21552,32574,72,2567,15135,3349,115,0,0
2019-01-01 22:00:00,0,3403,68,303,9654,6490,5605,538,0,15942,0,14316,1451,3465,69463,55,17713,1514,0,83593,450,1782,191,2139,0,21439,32284,75,2541,14971,3398,109,0,0
2019-01-01 23:00:00,0,3388,67,301,10374,6375,6122,582,0,15612,0,15392,1446,3699,71883,54,18830,1514,0,89012,444,1766,175,2253,0,21427,32285,81,2518,15248,3376,106,0,0
2019-01-02 00:00:00,0,3515,71,306,10641,6468,6197,609,0,15819,0,15287,1461,3783,75152,54,18788,1613,0,89834,447,1768,59,2276,0,22254,32885,73,2549,16039,3331,111,0,0
2019-01-02 01:00:00,0,3669,70,298,10510,6146,5992,602,0,15104,0,14862,1402,3772,75388,52,18508,1613,0,89119,486,1787,156,2225,0,23289,34346,64,2426,16942,3336,108,0,0
2019-01-02 02:00:00,0,3619,68,284,10266,5762,5835,596,0,14266,0,14305,1358,3675,74401,47,18070,1613,0,87728,483,1835,166,2152,0,23131,34838,80,2282,16854,3381,113,0,0
2019-01-02 03:00:00,0,3569,66,270,9912,5338,5549,567,0,13404,0,13503,1260,3620,73117,44,17388,1700,0,85318,462,1988,195,2045,0,22610,34587,66,2122,16694,3636,114,0,0
2019-01-02 04:00:00,0,3486,61,252,9413,4857,5181,540,0,12376,0,12504,1188,3531,70832,39,16399,1689,0,81720,452,2026,202,1903,0,21887,34108,63,1934,16458,3650,115,0,0
2019-01-02 05:00:00,0,3368,56,234,8913,4357,4814,514,0,11159,0,11894,1080,3365,68585,34,15460,1664,0,78215,454,2007,242,1787,0,20855,33265,66,1749,15933,3609,110,0,0
2019-01-02 06:00:00,0,3205,51,217,8507,3915,4532,489,0,10147,0,11614,975,3261,66319,31,14781,1642,0,76219,420,1976,221,1729,0,19761,32082,76,1612,15270,3549,109,0,0
2019-01-02 07:00:00,0,3078,47,204,8352,3642,4365,483,0,9476,0,11124,943,3196,64620,28,14410,1614,0,75598,394,1910,194,1698,0,19108,30996,76,1513,14708,3445,104,0,0
2019-01-02 08:00:00,0,2987,45,196,8274,3471,4323,483,0,9015,0,11046,923,3137,63697,28,14207,1581,0,75736,337,1811,190,1606,0,18718,30254,70,1447,14209,3296,101,0,0
2019-01-02 09:00:00,0,2980,43,192,8382,3399,4354,490,0,8749,0,11164,901,3174,63330,27,14215,1545,0,75872,316,1721,154,1588,0,18305,29925,72,1415,14065,3178,98,0,0
2019-01-02 10:00:00,0,2969,43,192,8694,3457,4521,508,0,8755,0,11593,936,3271,63883,26,14547,1353,0,77069,303,1661,164,1558,0,18230,29858,72,1442,14134,3114,94,0,0
2019-01-02 11:00:00,0,2988,44,203,9464,3699,4972,546,0,9185,0,12692,1001,3412,65501,29,15509,1320,0,81476,305,1648,182,1510,0,18586,29943,69,1544,14380,3062,96,0,0
2019-01-02 12:00:00,0,3045,44,226,10668,4141,5623,615,0,10129,0,14279,1118,3700,69576,32,17189,1323,0,88974,319,1630,163,1506,0,19247,30447,74,1707,14934,3037,91,0,0
2019-01-02 13:00:00,0,3238,44,245,11490,4434,6078,642,0,10927,0,15390,1190,3969,74541,36,18528,1304,0,94629,342,1641,208,1559,0,20731,31737,70,1792,16017,3054,95,0,0
2019-01-02 14:00:00,0,3466,48,250,11679,4883,6197,657,0,12106,0,15296,1234,4108,77959,38,18925,1339,0,96052,363,1674,241,1642,0,22187,33556,81,1900,17341,3124,94,0,0
2019-01-02 15:00:00,0,3567,55,259,11697,5068,6240,661,0,13406,0,14725,1286,4128,78952,44,19077,1383,0,96343,381,1727,193,1776,0,22921,34915,65,2004,17969,3244,96,0,0
