name,typ,node,maxcap,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn
BUCKSPORT_NG_Maine,ngcc,bus_188,298.4,5.21705561775,56.38,3,895.1999999999999,20888.0,298.4,4,4
YARMOUTH_O_Maine,oil,bus_188,846.0,10.4,309.3,8,2538.0,59220.0,846.0,1,1
MADISON_NG_Maine,ngcc,bus_188,3.0,4.722233381856098,1.21,3,9.0,210.0,3.0,4,4
RUMFORD_NG_Maine,ngcc,bus_188,274.5,5.901966844,115.53,3,823.5,19215.0,274.5,4,4
SOUTHPORTLAND_O_Maine,oil,bus_188,35.0,10.4,11.66,8,105.0,2450.0,35.0,1,1
BANGOR_NG_Maine,ngcc,bus_188,550.2,4.174419040666667,197.92,3,1650.6000000000001,38514.0,550.2,4,4
JAY_NG_Maine,ngcc,bus_188,163.5,3.299636509666667,62.74,3,490.5,11445.0,163.5,4,4
RUMFORD_O_Maine,oil,bus_188,12.5,10.4,4.67,8,37.5,875.0,12.5,1,1
SEARSMONT_O_Maine,oil,bus_188,2.0,10.4,0.84,8,6.0,140.0,2.0,1,1
RUMFORD_C_Maine,coal,bus_188,102.6,11.130731756117966,17.51,4,307.79999999999995,7182.0,33.858,12,12
WESTBROOK_NG_Maine,ngcc,bus_188,563.91,6.529590712666667,168.11,3,1691.73,39473.7,563.91,4,4
PORTSMOUTH_O_New_Hampshire,oil,bus_188,21.2,10.4,8.54,8,63.599999999999994,1484.0,21.2,1,1
PRESQUEISLE_O_Maine,oil,bus_56,6.0,10.4,1.41,8,18.0,420.0,6.0,1,1
EASTPORT_O_Maine,oil,bus_56,2.0,10.4,0.92,8,6.0,140.0,2.0,1,1
MEDWAY_O_Maine,oil,bus_56,8.0,10.4,2.21,8,24.0,560.0,8.0,1,1
CARIBOU_O_Maine,oil,bus_56,26.58,10.4,8.85,8,79.74,1860.6,26.58,1,1
MIRRORLAKE_O_New_Hampshire,oil,bus_479,18.0,10.4,4.11,8,54.0,1260.0,18.0,1,1
CONCORD_O_New_Hampshire,oil,bus_479,18.6,10.4,3.67,8,55.800000000000004,1302.0,18.6,1,1
