Generator,Type,Time,Value,$/MWh
CONCORD,Coal,1,0.0,7.376440098397362
CONCORD,Coal,2,0.0,7.376440098397362
CONCORD,Coal,3,0.0,7.376440098397362
CONCORD,Coal,4,0.0,7.376440098397362
CONCORD,Coal,5,0.0,7.376440098397362
CONCORD,Coal,6,0.0,7.376440098397362
CONCORD,Coal,7,0.0,7.376440098397362
CONCORD,Coal,8,0.0,7.376440098397362
CONCORD,Coal,9,0.0,7.376440098397362
CONCORD,Coal,10,0.0,7.376440098397362
CONCORD,Coal,11,0.0,7.376440098397362
CONCORD,Coal,12,0.0,7.376440098397362
CONCORD,Coal,13,0.0,7.376440098397362
CONCORD,Coal,14,0.0,7.376440098397362
CONCORD,Coal,15,0.0,7.376440098397362
CONCORD,Coal,16,0.0,7.376440098397362
CONCORD,Coal,17,0.0,7.376440098397362
CONCORD,Coal,18,0.0,7.376440098397362
CONCORD,Coal,19,0.0,7.376440098397362
CONCORD,Coal,20,0.0,7.376440098397362
CONCORD,Coal,21,0.0,7.376440098397362
CONCORD,Coal,22,0.0,7.376440098397362
CONCORD,Coal,23,0.0,7.376440098397362
CONCORD,Coal,24,0.0,7.376440098397362
INDIANORCHARD,Coal,1,0.0,0.0
INDIANORCHARD,Coal,2,0.0,0.0
INDIANORCHARD,Coal,3,0.0,0.0
INDIANORCHARD,Coal,4,0.0,0.0
INDIANORCHARD,Coal,5,0.0,0.0
INDIANORCHARD,Coal,6,0.0,0.0
INDIANORCHARD,Coal,7,0.0,0.0
INDIANORCHARD,Coal,8,0.0,0.0
INDIANORCHARD,Coal,9,0.0,0.0
INDIANORCHARD,Coal,10,0.0,0.0
INDIANORCHARD,Coal,11,0.0,0.0
INDIANORCHARD,Coal,12,0.0,0.0
INDIANORCHARD,Coal,13,0.0,0.0
INDIANORCHARD,Coal,14,0.0,0.0
INDIANORCHARD,Coal,15,0.0,0.0
INDIANORCHARD,Coal,16,0.0,0.0
INDIANORCHARD,Coal,17,0.0,0.0
INDIANORCHARD,Coal,18,0.0,0.0
INDIANORCHARD,Coal,19,0.0,0.0
INDIANORCHARD,Coal,20,0.0,0.0
