Bus,Time,Value
bus_56,1,27.0283283662456
bus_56,2,26.517484379291794
bus_56,3,24.941789817632436
bus_56,4,24.161290284122845
bus_56,5,24.37836956651755
bus_56,6,24.168273111578994
bus_56,7,22.37975867150375
bus_56,8,23.331314340762585
bus_56,9,22.13422286646516
bus_56,10,22.864926577813534
bus_56,11,22.95800083081858
bus_56,12,23.11104935307744
bus_56,13,23.512861361095236
bus_56,14,23.354552720564428
bus_56,15,23.73510168901675
bus_56,16,24.08546665170944
bus_56,17,24.53150985845653
bus_56,18,24.247608943454612
bus_56,19,24.202367921038746
bus_56,20,24.778555700057588
bus_56,21,25.707760346414794
bus_56,22,24.938210197568228
bus_56,23,25.440568698479822
bus_56,24,27.00645063523982
bus_188,1,27.66996641796137
bus_188,2,27.16563060122364
bus_188,3,25.34753528416936
bus_188,4,24.575818049298768
bus_188,5,24.681356871797735
bus_188,6,24.47026448559733
bus_188,7,22.667065985209604
bus_188,8,23.878658412973728
bus_188,9,22.42031121902008
bus_188,10,23.43979584292738
bus_188,11,23.3624784409267
bus_188,12,23.68939964415509
bus_188,13,24.095025117973258
bus_188,14,23.77477337306695
bus_188,15,24.13646255889519
bus_188,16,24.500526643286562
bus_188,17,24.83554901676173
bus_188,18,24.500526643286562
bus_188,19,24.500526643286562
bus_188,20,25.155672249129353
bus_188,21,25.951222099733805
bus_188,22,25.32326740516637
bus_188,23,25.764264827496362
bus_188,24,27.443194445917896
bus_479,1,26.924704758744376
bus_479,2,26.420167923218834
bus_479,3,24.72829653901968
bus_479,4,22.998318927130452
bus_479,5,24.1677430060242
bus_479,6,23.98113542479745
bus_479,7,22.245625312867517
bus_479,8,23.20161881436314
bus_479,9,22.02139845351479
bus_479,10,22.760749160935305
bus_479,11,22.875142784252215
bus_479,12,23.00813946825952
bus_479,13,23.415622376911593
bus_479,14,23.124903605250573
bus_479,15,23.684908838524272
bus_479,16,23.913045139958953
bus_479,17,24.321015740015078
bus_479,18,24.055545002454043
bus_479,19,24.042804795437398
bus_479,20,24.7548623797921
bus_479,21,25.49051931756991
bus_479,22,24.72903759756945
bus_479,23,24.411945102262056
bus_479,24,26.95212287891828
bus_1314,1,24.624549804161738
bus_1314,2,24.499334008475277
bus_1314,3,23.440844717766424
bus_1314,4,21.93044519528325
bus_1314,5,22.902805638739807
bus_1314,6,22.633745702346324
bus_1314,7,20.923458189272328
bus_1314,8,21.634966975538468
bus_1314,9,20.622399236449052
bus_1314,10,21.235359942588374
bus_1314,11,21.354142897772952
bus_1314,12,21.107312964158417
bus_1314,13,21.76844423317781
bus_1314,14,21.484127420943857
bus_1314,15,22.15503193147342
bus_1314,16,21.807576845055813
bus_1314,17,23.05071996614735
bus_1314,18,22.38841658556127
bus_1314,19,23.08317371780071
bus_1314,20,23.321862654291312
bus_1314,21,24.356398098302996
bus_1314,22,23.44742751471242
bus_1314,23,23.52057939606545
