Node,Time,Value
bus_56,1,0.0
bus_56,2,0.0
bus_56,3,0.0
bus_56,4,0.0
bus_56,5,0.0
bus_56,6,0.0
bus_56,7,0.0
bus_56,8,0.0
bus_56,9,0.0
bus_56,10,0.0
bus_56,11,0.0
bus_56,12,0.0
bus_56,13,0.0
bus_56,14,0.0
bus_56,15,0.0
bus_56,16,0.0
bus_56,17,0.0
bus_56,18,0.0
bus_56,19,0.0
bus_56,20,0.0
bus_56,21,0.0
bus_56,22,0.0
bus_56,23,0.0
bus_56,24,0.0
bus_188,1,0.0
bus_188,2,0.0
bus_188,3,0.0
bus_188,4,0.0
bus_188,5,0.0
bus_188,6,0.0
bus_188,7,0.0
bus_188,8,0.0
bus_188,9,0.0
bus_188,10,0.0
bus_188,11,0.0
bus_188,12,0.0
bus_188,13,0.0
bus_188,14,0.0
bus_188,15,0.0
bus_188,16,0.0
bus_188,17,0.0
bus_188,18,0.0
bus_188,19,0.0
bus_188,20,0.0
bus_188,21,0.0
bus_188,22,0.0
bus_188,23,0.0
bus_188,24,0.0
bus_479,1,0.0
bus_479,2,0.0
bus_479,3,0.0
bus_479,4,0.0
bus_479,5,0.0
bus_479,6,0.0
bus_479,7,0.0
bus_479,8,0.0
bus_479,9,0.0
bus_479,10,0.0
bus_479,11,0.0
bus_479,12,0.0
bus_479,13,0.0
bus_479,14,0.0
bus_479,15,0.0
bus_479,16,0.0
bus_479,17,0.0
bus_479,18,0.0
bus_479,19,0.0
bus_479,20,0.0
bus_479,21,0.0
bus_479,22,0.0
bus_479,23,0.0
bus_479,24,0.0
bus_1314,1,0.0
bus_1314,2,0.0
bus_1314,3,0.0
bus_1314,4,0.0
bus_1314,5,0.0
bus_1314,6,0.0
bus_1314,7,0.0
bus_1314,8,0.0
bus_1314,9,0.0
bus_1314,10,0.0
bus_1314,11,0.0
bus_1314,12,0.0
bus_1314,13,0.0
bus_1314,14,0.0
bus_1314,15,0.0
bus_1314,16,0.0
bus_1314,17,0.0
bus_1314,18,0.0
bus_1314,19,0.0
bus_1314,20,0.0
bus_1314,21,0.0
bus_1314,22,0.0
bus_1314,23,0.0
bus_1314,24,0.0
bus_1317,1,0.0
bus_1317,2,0.0
bus_1317,3,0.0
bus_1317,4,0.0
bus_1317,5,0.0
bus_1317,6,0.0
bus_1317,7,0.0
bus_1317,8,0.0
bus_1317,9,0.0
bus_1317,10,0.0
bus_1317,11,0.0
bus_1317,12,0.0
bus_1317,13,0.0
bus_1317,14,0.0
bus_1317,15,0.0
bus_1317,16,0.0
bus_1317,17,0.0
bus_1317,18,0.0
bus_1317,19,0.0
bus_1317,20,0.0
bus_1317,21,0.0
bus_1317,22,0.0
bus_1317,23,0.0
bus_1317,24,0.0
bus_2049,1,0.0
bus_2049,2,0.0
bus_2049,3,0.0
bus_2049,4,0.0
bus_2049,5,0.0
bus_2049,6,0.0
bus_2049,7,0.0
bus_2049,8,0.0
bus_2049,9,0.0
bus_2049,10,0.0
bus_2049,11,0.0
bus_2049,12,0.0
bus_2049,13,0.0
bus_2049,14,0.0
bus_2049,15,0.0
bus_2049,16,0.0
bus_2049,17,0.0
bus_2049,18,0.0
bus_2049,19,0.0
bus_2049,20,0.0
bus_2049,21,0.0
bus_2049,22,0.0
bus_2049,23,0.0
bus_2049,24,0.0
bus_2289,1,0.0
bus_2289,2,0.0
bus_2289,3,0.0
bus_2289,4,0.0
bus_2289,5,0.0
bus_2289,6,0.0
bus_2289,7,0.0
bus_2289,8,0.0
bus_2289,9,0.0
bus_2289,10,0.0
bus_2289,11,0.0
bus_2289,12,0.0
bus_2289,13,0.0
bus_2289,14,0.0
bus_2289,15,0.0
bus_2289,16,0.0
bus_2289,17,0.0
bus_2289,18,0.0
bus_2289,19,0.0
bus_2289,20,0.0
bus_2289,21,0.0
bus_2289,22,0.0
bus_2289,23,0.0
bus_2289,24,0.0
bus_2744,1,0.0
bus_2744,2,0.0
bus_2744,3,0.0
bus_2744,4,0.0
bus_2744,5,0.0
bus_2744,6,0.0
bus_2744,7,0.0
bus_2744,8,0.0
bus_2744,9,0.0
bus_2744,10,0.0
bus_2744,11,0.0
bus_2744,12,0.0
bus_2744,13,0.0
bus_2744,14,0.0
bus_2744,15,0.0
bus_2744,16,0.0
bus_2744,17,0.0
bus_2744,18,0.0
bus_2744,19,0.0
bus_2744,20,0.0
bus_2744,21,0.0
bus_2744,22,0.0
bus_2744,23,0.0
bus_2744,24,0.0
bus_2767,1,0.0
bus_2767,2,0.0
bus_2767,3,0.0
bus_2767,4,0.0
bus_2767,5,0.0
bus_2767,6,0.0
bus_2767,7,0.0
bus_2767,8,0.0
bus_2767,9,0.0
bus_2767,10,0.0
bus_2767,11,0.0
bus_2767,12,0.0
bus_2767,13,0.0
bus_2767,14,0.0
bus_2767,15,0.0
bus_2767,16,0.0
bus_2767,17,0.0
bus_2767,18,0.0
bus_2767,19,0.0
bus_2767,20,0.0
bus_2767,21,0.0
bus_2767,22,0.0
bus_2767,23,0.0
bus_2767,24,0.0
