,ISO NEW ENGLAND INC.,"MIDCONTINENT INDEPENDENT TRANSMISSION SYSTEM OPERATOR, INC..","PJM INTERCONNECTION, LLC","SOUTHERN COMPANY SERVICES, INC. - TRANS",FLORIDA POWER & LIGHT COMPANY,SOUTH CAROLINA PUBLIC SERVICE AUTHORITY,SOUTHWESTERN POWER ADMINISTRATION,WESTERN AREA POWER ADMINISTRATION UGP WEST,LOUISVILLE GAS AND ELECTRIC COMPANY AND KENTUCKY UTILITIES,SEMINOLE ELECTRIC COOPERATIVE,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.","ALCOA POWER GENERATING, INC. - YADKIN DIVISION",TENNESSEE VALLEY AUTHORITY,"NEW SMYRNA BEACH, UTILITIES COMMISSION OF",PUBLIC SERVICE COMPANY OF NEW MEXICO,NORTHWESTERN ENERGY (NWMT),SOUTHWEST POWER POOL,TAMPA ELECTRIC COMPANY,WESTERN AREA POWER ADMINISTRATION - ROCKY MOUNTAIN REGION,NEW BRUNSWICK SYSTEM OPERATOR,GRIDFORCE SOUTH,DUKE ENERGY PROGRESS EAST,DUKE ENERGY PROGRESS WEST,CITY OF HOMESTEAD,"ASSOCIATED ELECTRIC COOPERATIVE, INC.",POWERSOUTH ENERGY COOPERATIVE,NEW YORK INDEPENDENT SYSTEM OPERATOR,"ELECTRIC ENERGY, INC.",CITY OF TALLAHASSEE,OHIO VALLEY ELECTRIC CORPORATION,JEA,DUKE ENERGY FLORIDA INC,SOUTHEASTERN POWER ADMINISTRATION,DUKE ENERGY CAROLINAS
0,5.150543449,2.951795152,2.598582232,3.25,3.324452676,3.261853027,3.20767213,3.335842693,3.166974904,3.299312409,3.282581306,3.208223176,3.223691146,3.311730054,3.301714693,3.34677588,3.212374768,3.313170301,3.290646807,4.376719934,3.284014597,3.259549228,3.191977,3.346494049,3.15446993,3.256261093,3.854967064,3.19586309,3.271969507,3.025787187,3.274960143,3.300521097,3.262247568,3.204922067
1,5.175680993,2.94814524,2.591726825,2.72,3.081686258,3.049414192,3.037249336,3.22646944,3.015612472,3.021040495,3.115575371,3.051680534,2.979630959,3.056658421,3.16504298,3.234095092,3.108643839,3.055532302,3.175312919,4.344095407,3.144957669,3.104422144,3.001389632,3.12577287,3.049832826,2.836602608,3.799017022,3.033043677,2.921828056,2.939670416,2.938178354,3.024235172,2.865978409,3.025149187
2,5.171886647,2.94869617,2.592761603,2.8,3.118330246,3.081480431,3.062973531,3.24297861,3.038459631,3.063043802,3.140783814,3.075309612,3.016470232,3.095159799,3.185672672,3.251103512,3.124301337,3.094421057,3.192721808,4.349019864,3.165947394,3.127837552,3.030157537,3.159089274,3.065627106,2.899947285,3.807462312,3.057620192,2.974679596,2.952669174,2.989013341,3.065938708,2.925792621,3.052284716
3,5.172835233,2.948558437,2.592502909,2.78,3.109169249,3.073463872,3.056542482,3.238851317,3.032747841,3.052542975,3.134481703,3.069402343,3.007260414,3.085534455,3.180515249,3.246851407,3.120386963,3.084698868,3.188369585,4.347788749,3.160699962,3.1219837,3.022965561,3.150760173,3.061678535,2.884111116,3.805350989,3.051476063,2.961466711,2.949419484,2.976304594,3.055512824,2.910839068,3.045500834
4,5.17093806,2.948833903,2.593020298,2.82,3.127491243,3.089496991,3.06940458,3.247105903,3.044171421,3.073544629,3.147085925,3.081216882,3.025680051,3.104785144,3.190830096,3.255355618,3.128215712,3.104143246,3.19707403,4.350250978,3.171194825,3.133691405,3.037349513,3.167418376,3.069575676,2.915783454,3.809573634,3.063764321,2.987892481,2.955918863,3.001722088,3.076364592,2.940746175,3.059068598
5,5.174732406,2.948282972,2.591985519,2.74,3.090847255,3.057430752,3.043680384,3.230596732,3.021324261,3.031541321,3.121877481,3.057587804,2.988840777,3.066283765,3.170200403,3.238347196,3.112558213,3.065254491,3.179665141,4.34532652,3.150205099,3.110275995,3.008581608,3.134101971,3.053781395,2.852438777,3.801128344,3.039187805,2.935040941,2.942920105,2.950887101,3.034661056,2.880931962,3.031933069
6,5.167618007,2.949315966,2.593925729,2.89,3.159554732,3.11755495,3.091913251,3.261551426,3.064162686,3.110297524,3.169143312,3.101892325,3.057914415,3.13847385,3.208881076,3.270237986,3.141916023,3.138170906,3.212306807,4.354559877,3.189560834,3.154179888,3.062521429,3.196570229,3.08339567,2.971210046,3.816963262,3.085268772,3.034137578,2.967292776,3.046202702,3.112855186,2.993083611,3.082812186
7,5.166195127,2.949522565,2.594313771,2.92,3.173296227,3.12957979,3.101559824,3.267742365,3.072730371,3.126048764,3.178596478,3.110753229,3.071729143,3.152911867,3.216617211,3.276616144,3.147787586,3.152754189,3.218835141,4.356406549,3.197431981,3.162960666,3.073309394,3.209063881,3.089318525,2.9949643,3.820130245,3.094484965,3.053956906,2.972167311,3.065265822,3.128494012,3.015513941,3.09298801
8,5.164772247,2.949729164,2.594701813,2.95,3.187037723,3.14160463,3.111206397,3.273933304,3.081298055,3.141800005,3.188049644,3.119614134,3.08554387,3.167349884,3.224353346,3.282994302,3.153659148,3.167337472,3.225363474,4.35825322,3.205303128,3.171741444,3.084097358,3.221557533,3.09524138,3.018718554,3.823297229,3.103701158,3.073776233,2.977041845,3.084328942,3.144132838,3.03794427,3.103163833
9,5.164772247,2.949729164,2.594701813,2.95,3.187037723,3.14160463,3.111206397,3.273933304,3.081298055,3.141800005,3.188049644,3.119614134,3.08554387,3.167349884,3.224353346,3.282994302,3.153659148,3.167337472,3.225363474,4.35825322,3.205303128,3.171741444,3.084097358,3.221557533,3.09524138,3.018718554,3.823297229,3.103701158,3.073776233,2.977041845,3.084328942,3.144132838,3.03794427,3.103163833
10,5.158290239,2.950670336,2.59646956,3.086666667,3.249637868,3.196384455,3.155151898,3.30213647,3.12032862,3.213555656,3.231114068,3.159980475,3.148477629,3.233123073,3.259595737,3.312050354,3.180407375,3.233772427,3.255103659,4.366665834,3.241160575,3.211742768,3.133242529,3.278473057,3.122223275,3.126932378,3.837724598,3.145686039,3.16406428,2.999248056,3.171172045,3.215376378,3.140126884,3.149520362
11,5.171254256,2.948787992,2.592934066,2.813333333,3.124437577,3.086824805,3.067260897,3.245730138,3.042267491,3.070044354,3.144985221,3.079247792,3.022610111,3.101576696,3.189110954,3.253938249,3.126910921,3.100902516,3.195623289,4.349840607,3.169445681,3.131740121,3.034952187,3.164642008,3.068259486,2.910504731,3.80886986,3.061716278,2.983488186,2.954835633,2.997485839,3.072889297,2.935761657,3.056807304
12,5.145326223,2.952552681,2.600005053,3.36,3.374838159,3.305944106,3.243042899,3.358542802,3.198389749,3.357066957,3.317242915,3.240713158,3.274345147,3.364669449,3.33008052,3.370162459,3.233903829,3.366642339,3.314584029,4.383491062,3.312875469,3.291745416,3.231532869,3.392304106,3.176187065,3.343360024,3.866579337,3.229655799,3.344640374,3.043660479,3.344858251,3.357863458,3.34449211,3.24223342
13,5.136788944,2.953792273,2.602333305,3.54,3.457287131,3.378093144,3.300922339,3.395688436,3.249795858,3.4515744,3.373961912,3.293878584,3.357233513,3.451297551,3.376497328,3.408431406,3.269133201,3.454142036,3.353754028,4.394571091,3.36010235,3.344430086,3.296260655,3.467266016,3.211724194,3.485885547,3.885581238,3.284952958,3.463556339,3.072907684,3.459236972,3.451696414,3.479074089,3.303288361
14,5.134891771,2.954067738,2.602850694,3.58,3.475609125,3.394126263,3.313784436,3.403943021,3.261219437,3.472576054,3.386566133,3.305693123,3.37565315,3.47054824,3.386812174,3.416935617,3.27696195,3.473586413,3.362458473,4.397033319,3.370597213,3.356137791,3.310644607,3.483924218,3.219621334,3.517557886,3.889803883,3.297241216,3.489982109,3.079407063,3.484654465,3.472548181,3.508981195,3.316856125
15,5.134891771,2.954067738,2.602850694,3.58,3.475609125,3.394126263,3.313784436,3.403943021,3.261219437,3.472576054,3.386566133,3.305693123,3.37565315,3.47054824,3.386812174,3.416935617,3.27696195,3.473586413,3.362458473,4.397033319,3.370597213,3.356137791,3.310644607,3.483924218,3.219621334,3.517557886,3.889803883,3.297241216,3.489982109,3.079407063,3.484654465,3.472548181,3.508981195,3.316856125
