,Algonquin Citygates,Chicago Citygates,TETCO-M3,Henry
0,5.150543449,2.951795152,2.598582232,3.25
1,5.175680993,2.94814524,2.591726825,2.72
2,5.171886647,2.94869617,2.592761603,2.8
3,5.172835233,2.948558437,2.592502909,2.78
4,5.17093806,2.948833903,2.593020298,2.82
5,5.174732406,2.948282972,2.591985519,2.74
6,5.167618007,2.949315966,2.593925729,2.89
7,5.166195127,2.949522565,2.594313771,2.92
8,5.164772247,2.949729164,2.594701813,2.95
9,5.164772247,2.949729164,2.594701813,2.95
10,5.158290239,2.950670336,2.59646956,3.086666667
11,5.171254256,2.948787992,2.592934066,2.813333333
12,5.145326223,2.952552681,2.600005053,3.36
13,5.136788944,2.953792273,2.602333305,3.54
14,5.134891771,2.954067738,2.602850694,3.58
15,5.134891771,2.954067738,2.602850694,3.58
16,5.14200617,2.953034745,2.600910484,3.43
17,5.14200617,2.953034745,2.600910484,3.43
18,5.14200617,2.953034745,2.600910484,3.43
19,5.14200617,2.953034745,2.600910484,3.43
20,5.14200617,2.953034745,2.600910484,3.43
21,5.156234968,2.950968757,2.597030065,3.13
22,5.156234968,2.950968757,2.597030065,3.13
23,5.159080728,2.950555559,2.596253981,3.07
24,5.159396923,2.950509648,2.596167749,3.063333333
25,5.158764532,2.95060147,2.596340212,3.076666667
26,5.160029314,2.950417827,2.595995286,3.05
27,5.165246541,2.949660298,2.594572466,2.94
28,5.162400781,2.950073495,2.59534855,3
29,5.17093806,2.948833903,2.593020298,2.82
30,5.176629579,2.948007507,2.59146813,2.7
31,5.17868485,2.947709087,2.590907625,2.656666667
32,5.174574308,2.948305928,2.592028635,2.743333333
33,5.182795392,2.947112246,2.589786615,2.57
34,5.184218272,2.946905647,2.589398573,2.54
35,5.182321099,2.947181112,2.589915962,2.58
36,5.180423926,2.947456577,2.590433352,2.62
37,5.179791535,2.947548399,2.590605815,2.633333333
38,5.181056317,2.947364756,2.590260889,2.606666667
39,5.178526753,2.947732042,2.590950741,2.66
40,5.17378382,2.948420705,2.592244214,2.76
41,5.176155286,2.948076374,2.591597478,2.71
42,5.180898219,2.947387711,2.590304004,2.61
43,5.180898219,2.947387711,2.590304004,2.61
44,5.181846806,2.947249979,2.59004531,2.59
45,5.180661072,2.947422144,2.590368678,2.615
46,5.178289606,2.947766475,2.591015415,2.665
47,5.174732406,2.948282972,2.591985519,2.74
48,5.177103873,2.947938641,2.591338783,2.69
49,5.177103873,2.947938641,2.591338783,2.69
50,5.1752067,2.948214106,2.591856172,2.73
51,5.174732406,2.948282972,2.591985519,2.74
52,5.173151429,2.948512527,2.592416677,2.773333333
53,5.176313384,2.948053418,2.591554362,2.706666667
54,5.169989473,2.948971635,2.593278993,2.84
55,5.174732406,2.948282972,2.591985519,2.74
56,5.167618007,2.949315966,2.593925729,2.89
57,5.167618007,2.949315966,2.593925729,2.89
58,5.153389209,2.951381954,2.597806149,3.19
59,5.136630846,2.953815229,2.60237642,3.543333333
60,5.170147571,2.94894868,2.593235877,2.836666667
61,5.103114121,2.958681778,2.611516964,4.25
62,5.153863502,2.951313088,2.597676801,3.18
63,5.153863502,2.951313088,2.597676801,3.18
64,5.167143714,2.949384833,2.594055076,2.9
65,5.167143714,2.949384833,2.594055076,2.9
66,5.167776105,2.949293011,2.593882613,2.886666667
67,5.166511323,2.949476654,2.59422754,2.913333333
68,5.169040887,2.949109368,2.593537687,2.86
69,5.170463767,2.948902769,2.593149645,2.83
70,5.168566594,2.949178234,2.593667035,2.87
71,5.164772247,2.949729164,2.594701813,2.95
72,5.164772247,2.949729164,2.594701813,2.95
73,5.165562736,2.949614387,2.594486234,2.933333333
74,5.163981759,2.949843941,2.594917392,2.966666667
75,5.167143714,2.949384833,2.594055076,2.9
76,5.166195127,2.949522565,2.594313771,2.92
77,5.169040887,2.949109368,2.593537687,2.86
78,5.169040887,2.949109368,2.593537687,2.86
79,5.174258113,2.948351839,2.592114867,2.75
80,5.174732406,2.948282972,2.591985519,2.74
81,5.17378382,2.948420705,2.592244214,2.76
82,5.175680993,2.94814524,2.591726825,2.72
83,5.174732406,2.948282972,2.591985519,2.74
84,5.177103873,2.947938641,2.591338783,2.69
85,5.177103873,2.947938641,2.591338783,2.69
86,5.1752067,2.948214106,2.591856172,2.73
87,5.1752067,2.948214106,2.591856172,2.73
88,5.1752067,2.948214106,2.591856172,2.73
89,5.1752067,2.948214106,2.591856172,2.73
90,5.17378382,2.948420705,2.592244214,2.76
91,5.174732406,2.948282972,2.591985519,2.74
92,5.178526753,2.947732042,2.590950741,2.66
93,5.180423926,2.947456577,2.590433352,2.62
94,5.178842948,2.947686132,2.590864509,2.653333333
95,5.182004903,2.947227023,2.590002194,2.586666667
96,5.175680993,2.94814524,2.591726825,2.72
97,5.176155286,2.948076374,2.591597478,2.71
98,5.175680993,2.94814524,2.591726825,2.72
99,5.175680993,2.94814524,2.591726825,2.72
100,5.174258113,2.948351839,2.592114867,2.75
101,5.174258113,2.948351839,2.592114867,2.75
102,5.174258113,2.948351839,2.592114867,2.75
103,5.174258113,2.948351839,2.592114867,2.75
104,5.178526753,2.947732042,2.590950741,2.66
105,5.183743979,2.946974513,2.589527921,2.55
106,5.184218272,2.946905647,2.589398573,2.54
107,5.183388259,2.947026163,2.589624931,2.5575
108,5.181728232,2.947267195,2.590077647,2.5925
109,5.179238192,2.947628743,2.59075672,2.645
110,5.180898219,2.947387711,2.590304004,2.61
111,5.184692565,2.946836781,2.589269226,2.53
112,5.184692565,2.946836781,2.589269226,2.53
113,5.184218272,2.946905647,2.589398573,2.54
114,5.182321099,2.947181112,2.589915962,2.58
115,5.182321099,2.947181112,2.589915962,2.58
116,5.182321099,2.947181112,2.589915962,2.58
117,5.182321099,2.947181112,2.589915962,2.58
118,5.181846806,2.947249979,2.59004531,2.59
119,5.181846806,2.947249979,2.59004531,2.59
120,5.179949632,2.947525444,2.590562699,2.63
121,5.181846806,2.947249979,2.59004531,2.59
122,5.182637294,2.947135201,2.589829731,2.573333333
123,5.181056317,2.947364756,2.590260889,2.606666667
124,5.184218272,2.946905647,2.589398573,2.54
125,5.184218272,2.946905647,2.589398573,2.54
126,5.179475339,2.94759431,2.590692046,2.64
127,5.180423926,2.947456577,2.590433352,2.62
128,5.179475339,2.94759431,2.590692046,2.64
129,5.178368655,2.947754998,2.590993857,2.663333333
130,5.180582023,2.947433622,2.590390236,2.616666667
131,5.176155286,2.948076374,2.591597478,2.71
132,5.176629579,2.948007507,2.59146813,2.7
133,5.177103873,2.947938641,2.591338783,2.69
134,5.180423926,2.947456577,2.590433352,2.62
135,5.180898219,2.947387711,2.590304004,2.61
136,5.179475339,2.94759431,2.590692046,2.64
137,5.182321099,2.947181112,2.589915962,2.58
138,5.176629579,2.948007507,2.59146813,2.7
139,5.1752067,2.948214106,2.591856172,2.73
140,5.1752067,2.948214106,2.591856172,2.73
141,5.183269685,2.94704338,2.589657268,2.56
142,5.181372512,2.947318845,2.590174657,2.6
143,5.180779646,2.947404928,2.590336341,2.6125
144,5.179593912,2.947577093,2.59065971,2.6375
