Name,Bus,Fuel,Max_Cap,Min_Cap,Heat_Rate
BUCKSPORT_NG_Maine,188,NG (Natural Gas),298.4,56.379999999999995,5.21705561775
YARMOUTH_O_Maine,188,DFO (Distillate Fuel Oil),846.0,309.3,6.549625
MADISON_NG_Maine,188,NG (Natural Gas),3.0,1.21,4.722233381856098
RUMFORD_NG_Maine,188,NG (Natural Gas),274.5,115.53,5.901966844
SOUTHPORTLAND_O_Maine,188,DFO (Distillate Fuel Oil),35.0,11.66,0.525
BANGOR_NG_Maine,188,NG (Natural Gas),550.2,197.92000000000002,4.174419040666667
JAY_NG_Maine,188,NG (Natural Gas),163.5,62.739999999999995,3.299636509666667
RUMFORD_O_Maine,188,DFO (Distillate Fuel Oil),12.5,4.67,0.39
SEARSMONT_O_Maine,188,DFO (Distillate Fuel Oil),2.0,0.84,0.0655
RUMFORD_C_Maine,188,BIT (Bituminous Coal),102.6,17.51,11.130731756117966
WESTBROOK_NG_Maine,188,NG (Natural Gas),563.91,168.11,6.529590712666667
PORTSMOUTH_O_New_Hampshire,188,DFO (Distillate Fuel Oil),21.2,8.54,0.68
PRESQUEISLE_O_Maine,56,DFO (Distillate Fuel Oil),6.0,1.4100000000000001,0.054
EASTPORT_O_Maine,56,DFO (Distillate Fuel Oil),2.0,0.92,0.0675
MEDWAY_O_Maine,56,DFO (Distillate Fuel Oil),8.0,2.21,0.4721112440191388
CARIBOU_O_Maine,56,DFO (Distillate Fuel Oil),26.58,8.85,0.133
MIRRORLAKE_O_New_Hampshire,479,DFO (Distillate Fuel Oil),18.0,4.11,0.4835
CONCORD_O_New_Hampshire,479,DFO (Distillate Fuel Oil),18.6,3.67,0.482
TAMWORTH_O_New_Hampshire,479,DFO (Distillate Fuel Oil),18.6,4.58,0.5095
PLYMOUTH_O_New_Hampshire,479,DFO (Distillate Fuel Oil),2.8,1.21,0.04625
PORTSMOUTH_O_New_Hampshire_2,4238,DFO (Distillate Fuel Oil),414.0,88.18,10.9255
CONCORD_C_New_Hampshire,4238,BIT (Bituminous Coal),459.2,189.18,6.319130925
PORTSMOUTH_C_New_Hampshire,4238,BIT (Bituminous Coal),100.0,28.58,11.130731756117966
HAMPTON_O_New_Hampshire,4238,DFO (Distillate Fuel Oil),3.78,1.08,0.012416666666666668
HAMPTON_NG_New_Hampshire,4238,NG (Natural Gas),5.0,1.54,4.722233381856098
