,ISO NEW ENGLAND INC.,"MIDCONTINENT INDEPENDENT TRANSMISSION SYSTEM OPERATOR, INC..","PJM INTERCONNECTION, LLC","SOUTHERN COMPANY SERVICES, INC. - TRANS",FLORIDA POWER & LIGHT COMPANY,SOUTH CAROLINA PUBLIC SERVICE AUTHORITY,SOUTHWESTERN POWER ADMINISTRATION,WESTERN AREA POWER ADMINISTRATION UGP WEST,LOUISVILLE GAS AND ELECTRIC COMPANY AND KENTUCKY UTILITIES,SEMINOLE ELECTRIC COOPERATIVE,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.","ALCOA POWER GENERATING, INC. - YADKIN DIVISION",TENNESSEE VALLEY AUTHORITY,"NEW SMYRNA BEACH, UTILITIES COMMISSION OF",PUBLIC SERVICE COMPANY OF NEW MEXICO,NORTHWESTERN ENERGY (NWMT),SOUTHWEST POWER POOL,TAMPA ELECTRIC COMPANY,WESTERN AREA POWER ADMINISTRATION - ROCKY MOUNTAIN REGION,NEW BRUNSWICK SYSTEM OPERATOR,GRIDFORCE SOUTH,DUKE ENERGY PROGRESS EAST,DUKE ENERGY PROGRESS WEST,CITY OF HOMESTEAD,"ASSOCIATED ELECTRIC COOPERATIVE, INC.",POWERSOUTH ENERGY COOPERATIVE,NEW YORK INDEPENDENT SYSTEM OPERATOR,"ELECTRIC ENERGY, INC.",CITY OF TALLAHASSEE,OHIO VALLEY ELECTRIC CORPORATION,JEA,DUKE ENERGY FLORIDA INC,SOUTHEASTERN POWER ADMINISTRATION,DUKE ENERGY CAROLINAS
0,6.374795913,3.343049372,3.207169644,3.25,3.704874133,3.677638444,3.608960127,3.845580652,3.623817844,3.628398071,3.71449936,3.693412409,3.567117615,3.674891189,3.770849963,3.858304033,3.667682597,3.671228038,3.773931546,5.316263734,3.742757394,3.757536838,3.621241019,3.75944838,3.582883889,3.39413091,4.63511204,3.61176707,3.502502611,3.570907508,3.523723453,3.63238212,3.432274713,3.654738185
1,6.374795913,3.343049372,3.207169644,3.25,3.704874133,3.677638444,3.608960127,3.845580652,3.623817844,3.628398071,3.71449936,3.693412409,3.567117615,3.674891189,3.770849963,3.858304033,3.667682597,3.671228038,3.773931546,5.316263734,3.742757394,3.757536838,3.621241019,3.75944838,3.582883889,3.39413091,4.63511204,3.61176707,3.502502611,3.570907508,3.523723453,3.63238212,3.432274713,3.654738185
2,4.842963344,2.800270296,2.41158111,2.72,2.967996379,2.925648233,2.910186439,3.06866348,2.876377806,2.922407084,2.981432111,2.907651236,2.874200548,2.948154947,3.019239982,3.076332041,2.961409356,2.948311918,3.023800431,4.082515866,3.001633199,2.957128403,2.872854746,3.002519777,2.908361238,2.794725902,3.577193554,2.902383927,2.852367152,2.776714176,2.863342545,2.924779514,2.814637726,2.891082684
3,5.074183355,2.882199213,2.531669945,2.8,3.079223209,3.03915619,3.015661712,3.185933996,2.989198944,3.028971761,3.092083771,3.026256696,2.978791804,3.057850984,3.132690545,3.194365549,3.068016637,3.057431332,3.137027769,4.26874196,3.113501002,3.07794477,2.985818711,3.116773151,3.010175978,2.885202129,3.736879363,3.009460628,2.950500806,2.896592415,2.963022682,3.031587455,2.90786595,3.006351439
4,5.016378352,2.861716984,2.501647737,2.78,3.051416502,3.010779201,2.989292894,3.156616367,2.960993659,3.002330592,3.064420856,2.996605331,2.95264399,3.030426974,3.104327905,3.164857172,3.041364817,3.030151479,3.108720934,4.222185436,3.085534051,3.047740679,2.95757772,3.088209808,2.984722293,2.862583072,3.696957911,2.982691453,2.925967392,2.866622855,2.938102647,3.004885469,2.884558894,2.97753425
5,5.131988357,2.902681442,2.561692154,2.82,3.107029917,3.067533179,3.042030531,3.215251625,3.017404228,3.05561293,3.119746686,3.055908061,3.004939617,3.085274993,3.161053186,3.223873926,3.094668458,3.084711186,3.165334603,4.315298483,3.141467953,3.108148862,3.014059703,3.145336495,3.035629662,2.907821186,3.776800815,3.036229803,2.975034219,2.926561975,2.987942716,3.05828944,2.931173006,3.035168628
6,4.900768347,2.820752525,2.441603319,2.74,2.995803086,2.954025223,2.936555257,3.097981109,2.90458309,2.949048253,3.009095026,2.937302601,2.900348362,2.975578956,3.047602623,3.105840418,2.988061176,2.975591771,3.052107265,4.12907239,3.02960015,2.987332495,2.901095737,3.031083121,2.933814923,2.817344959,3.617115006,2.929153103,2.876900565,2.806683736,2.888262579,2.951481499,2.837944782,2.919899873
7,5.334305866,2.974369245,2.666769885,2.89,3.204353394,3.166852641,3.134321395,3.317863327,3.116122724,3.148857023,3.216566889,3.159687838,3.096456966,3.181259025,3.260322429,3.327153246,3.187949829,3.180190673,3.264408524,4.478246314,3.23935228,3.213863184,3.112903173,3.245308197,3.12471756,2.986987885,3.916525898,3.129921917,3.060901167,3.031455434,3.075162836,3.151746388,3.012747703,3.136028788
8,5.42101337,3.005092589,2.711803198,2.92,3.246063456,3.209418124,3.173874623,3.361839771,3.158430651,3.188818777,3.258061262,3.204164886,3.135678686,3.222395038,3.30286639,3.371415811,3.22792756,3.221110454,3.306868776,4.548081099,3.281302706,3.259169322,3.15526466,3.288153212,3.162898087,3.020916471,3.976408077,3.170075679,3.097701287,3.076409773,3.112542887,3.191799365,3.047708287,3.179254571
9,5.507720874,3.035815933,2.756836512,2.95,3.287773517,3.251983608,3.21342785,3.405816215,3.200738577,3.228780531,3.299555634,3.248641934,3.174900407,3.263531052,3.345410351,3.415678377,3.267905291,3.262030234,3.349329028,4.617915884,3.323253133,3.304475459,3.197626147,3.330998228,3.201078615,3.054845056,4.036290255,3.210229442,3.134501408,3.121364113,3.149922939,3.231852343,3.082668871,3.222480354
